goos: darwin
goarch: arm64
pkg: github.com/DataDog/go-libddwaf/v5
cpu: Apple M4 Max
BenchmarkWAF/DataComplexity/Heavy-16                    	    1384	    863267 ns/op	   21514 B/op	     496 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1414	    850075 ns/op	   21507 B/op	     496 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1418	    843388 ns/op	   21504 B/op	     496 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1438	    855827 ns/op	   21506 B/op	     496 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1408	    844045 ns/op	   21507 B/op	     496 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1420	    843226 ns/op	   21510 B/op	     496 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1425	    849822 ns/op	   21503 B/op	     496 allocs/op
BenchmarkWAF/DataComplexity/Heavy-16                    	    1371	    846449 ns/op	   21511 B/op	     496 allocs/op
BenchmarkWAF/Parallel-16                                	  129313	      9316 ns/op	    5536 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  124699	      9233 ns/op	    5534 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  125518	      9549 ns/op	    5540 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  124341	      9538 ns/op	    5540 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  120399	      9828 ns/op	    5545 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  119450	      9906 ns/op	    5546 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  118797	     10178 ns/op	    5551 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  118795	     10278 ns/op	    5549 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  111580	     10410 ns/op	    5559 B/op	     102 allocs/op
BenchmarkWAF/Parallel-16                                	  112210	     10589 ns/op	    5561 B/op	     102 allocs/op
BenchmarkWAF/Subcontext-16                              	   47670	     24781 ns/op	    3312 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   48699	     24690 ns/op	    3312 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   49353	     24421 ns/op	    3312 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   49052	     24523 ns/op	    3312 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   48514	     24492 ns/op	    3312 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   49000	     24447 ns/op	    3311 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   48009	     24670 ns/op	    3312 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   48724	     24578 ns/op	    3312 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   48582	     24619 ns/op	    3312 B/op	      39 allocs/op
BenchmarkWAF/Subcontext-16                              	   48634	     24402 ns/op	    3312 B/op	      39 allocs/op
BenchmarkNewContextOnly-16                              	  930686	      1279 ns/op	     142 B/op	       5 allocs/op
BenchmarkNewContextOnly-16                              	  961863	      1311 ns/op	     142 B/op	       5 allocs/op
BenchmarkNewContextOnly-16                              	  898699	      1329 ns/op	     142 B/op	       5 allocs/op
BenchmarkNewContextOnly-16                              	  917944	      1310 ns/op	     141 B/op	       5 allocs/op
BenchmarkNewContextOnly-16                              	  924376	      1316 ns/op	     142 B/op	       5 allocs/op
BenchmarkNewContextOnly-16                              	  943840	      1306 ns/op	     142 B/op	       5 allocs/op
BenchmarkNewContextOnly-16                              	  896925	      1299 ns/op	     142 B/op	       5 allocs/op
BenchmarkNewContextOnly-16                              	  913486	      1312 ns/op	     142 B/op	       5 allocs/op
BenchmarkNewContextOnly-16                              	  944269	      1290 ns/op	     141 B/op	       5 allocs/op
